tmdb_id,country,certification,descriptors,iso_639_1,note,release_date,type
626872,BR,14,[],,Globoplay,2022-12-12 00:00:00+00:00,4
626872,BR,14,[],,VOD,2023-02-15 00:00:00+00:00,4
626872,BR,14,[],,Telecine,2022-12-12 00:00:00+00:00,6
626872,DE,16,[],,,2022-11-10 00:00:00+00:00,3
626872,DE,16,[],,,2023-03-23 00:00:00+00:00,5
626872,FR,,[],,Cannes Film Festival,2021-07-16 00:00:00+00:00,1
626872,FR,,[],,VOD,2022-11-30 00:00:00+00:00,4
626872,FR,,[],,DVD & Blu-Ray,2022-11-30 00:00:00+00:00,5
626872,HK,IIB,[],,,2022-08-04 00:00:00+00:00,3
626872,ID,,[],ko,,2022-08-16 00:00:00+00:00,3
626872,IT,,[],,Far East Film Festival,2023-04-28 00:00:00+00:00,1
626872,JP,,[],,,2023-01-06 00:00:00+00:00,3
626872,KR,12,[],,,2022-08-03 00:00:00+00:00,3
626872,RU,18+,[],ru,Централ Партнершип,2022-11-03 00:00:00+00:00,3
626872,SG,PG13,[],,,2022-08-04 00:00:00+00:00,3
626872,TH,น18+,[],th,,2022-08-04 00:00:00+00:00,3
626872,TW,12,[],,,2022-08-12 00:00:00+00:00,3
626872,US,,[],,,2022-08-12 00:00:00+00:00,2
736820,AE,,[],,Korean Film Festival,2023-06-10 00:00:00+00:00,1
736820,HK,,[],,,2022-09-08 00:00:00+00:00,3
736820,ID,,[],,,2022-09-30 00:00:00+00:00,3
736820,JP,,[],,,2023-09-22 00:00:00+00:00,3
736820,KR,15,[],,"Yongsan, Seoul",2022-08-30 00:00:00+00:00,1
736820,KR,15,[],,,2022-09-07 00:00:00+00:00,3
736820,RU,18+,[],,,2022-12-25 00:00:00+00:00,4
736820,SG,NC16,[],,,2022-09-15 00:00:00+00:00,3
774548,DE,16,[],,,2024-09-26 00:00:00+00:00,4
774548,DE,16,[],,,2024-09-26 00:00:00+00:00,5
774548,FR,12,[],,VOD,2023-08-11 00:00:00+00:00,4
774548,FR,,[],,DVD & Blu-Ray,2023-08-23 00:00:00+00:00,5
774548,HK,IIA,[],,,2022-12-01 00:00:00+00:00,3
774548,IN,,[],ko,,2023-03-10 00:00:00+00:00,3
774548,KR,12,[],ko,,2022-11-16 00:00:00+00:00,3
774548,SG,PG13,[],,,2022-12-01 00:00:00+00:00,3
774548,TW,,[],,,2022-11-25 00:00:00+00:00,3
774548,US,,[],,,2022-11-12 00:00:00+00:00,1
821153,ID,,[],,,2022-10-19 00:00:00+00:00,3
821153,JP,,[],,,2023-12-29 00:00:00+00:00,3
821153,KR,12,[],,,2022-08-24 00:00:00+00:00,3
821153,TW,0+,[],,,2022-09-30 00:00:00+00:00,3
615173,CH,18,[],,,2023-03-19 00:00:00+00:00,4
615173,DE,18,[],,Blu-ray-Mediabook,2023-01-20 00:00:00+00:00,5
615173,DE,18,[],,"Blu-ray, DVD",2023-01-27 00:00:00+00:00,5
615173,GB,18,[],,,2022-11-28 00:00:00+00:00,4
615173,JP,R15+,[],,,2023-05-26 00:00:00+00:00,4
615173,KR,15,[],,,2022-06-15 00:00:00+00:00,3
615173,MX,B-15,[],,,2024-11-14 00:00:00+00:00,3
615173,NL,18,[],,,2022-06-15 00:00:00+00:00,3
615173,PE,,[],,,2025-02-06 00:00:00+00:00,3
615173,US,,[],,,2022-11-08 00:00:00+00:00,4
